,date,song,artist,peak-rank,weeks-on-board
0,2000-01-01,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,75,3
1,2000-01-01,I Wanna Know,Joe,4,44
2,2000-01-01,The Quittin' Kind,Joe Diffie,90,6
3,2000-01-01,Show Me The Meaning Of Being Lonely,Backstreet Boys,6,24
4,2000-01-01,This Gift,98 Degrees,49,3
5,2000-01-08,All I Want For Christmas Is You,Mariah Carey,1,50
6,2000-01-08,G'd Up,Snoop Dogg Presents Tha Eastsidaz,47,14
7,2000-01-08,Love Is Blind,Eve Featuring Faith Evans,34,16
8,2000-01-08,The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",77,12
9,2000-01-15,Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,65,9
10,2000-01-15,What's My Name,DMX,67,11
11,2000-01-15,Back At One,Mark Wills,36,20
12,2000-01-15,Falls Apart,Sugar Ray,29,20
13,2000-01-22,Smoke Rings In The Dark,Gary Allan,76,5
14,2000-01-22,Untitled (How Does It Feel),D'Angelo,25,17
15,2000-01-22,Forgot About Dre,Dr. Dre Featuring Eminem,25,20
16,2000-01-22,Never Let You Go,Third Eye Blind,14,22
17,2000-01-22,It Feels So Good,Sonique,8,24
18,2000-01-22,Everything You Want,Vertical Horizon,1,41
19,2000-01-22,Breathe And Stop,Q-Tip,71,5
20,2000-01-29,Bye Bye Bye,'N Sync,4,23
21,2000-01-29,Lessons Learned,Tracy Lawrence,40,20
22,2000-01-29,Put Your Hand In Mine,Tracy Byrd,76,8
23,2000-01-29,Because You Love Me,Jo Dee Messina,53,13
24,2000-01-29,I Don't Wanna,Aaliyah,35,20
25,2000-01-29,I Like It,Sammie,24,20
26,2000-01-29,How Do You Like Me Now?!,Toby Keith,31,20
27,2000-01-29,From The Bottom Of My Broken Heart,Britney Spears,14,20
28,2000-01-29,Thong Song,Sisqo,3,28
29,2000-01-29,"Tricky, Tricky",Lou Bega,74,3
30,2000-01-29,The Best Day,George Strait,31,20
31,2000-02-05,Love's The Only House,Martina McBride,42,20
32,2000-02-05,This Woman Needs,SHeDAISY,57,9
33,2000-02-05,U Understand,Juvenile,83,6
34,2000-02-12,Maria Maria,Santana Featuring The Product G&B,1,26
35,2000-02-12,"Left, Right, Left",Drama,73,13
36,2000-02-12,Otherside,Red Hot Chili Peppers,14,22
37,2000-02-12,No Leaf Clover,Metallica,74,10
38,2000-02-12,Freakin' It,Will Smith,99,4
39,2000-02-12,Best Friend,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,59,5
40,2000-02-12,Dear Lie,TLC,51,7
41,2000-02-19,American Pie,Madonna,29,9
42,2000-02-19,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,51,17
43,2000-02-19,I Learned From The Best,Whitney Houston,27,11
44,2000-02-19,Do What You Gotta Do,Garth Brooks,69,6
45,2000-02-19,I Need A Hot Girl,Hot Boys,65,13
46,2000-02-19,Been There,Clint Black With Steve Wariner,44,20
47,2000-02-19,Only God Knows Why,Kid Rock,19,20
48,2000-02-19,I Try,Macy Gray,5,27
49,2000-02-19,Another Dumb Blonde,Hoku,27,14
50,2000-02-26,Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz,72,7
51,2000-02-26,Party Up (Up In Here),DMX,27,22
52,2000-02-26,You Sang To Me,Marc Anthony,2,32
53,2000-02-26,That's What I'm Looking For,Da Brat,56,18
54,2000-02-26,Stay Or Let It Go,Brian McKnight,76,8
55,2000-02-26,Anything,JAY-Z,55,8
56,2000-03-04,There You Go,P!nk,7,32
57,2000-03-04,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla,62,10
58,2000-03-04,It Was,Chely Wright,64,10
59,2000-03-04,Daddy Won't Sell The Farm,Montgomery Gentry,79,6
60,2000-03-04,Whoa!,Black Rob,43,17
61,2000-03-04,Still In My Heart,Tracie Spencer,88,3
62,2000-03-04,Get Up,Amel Larrieux,97,3
63,2000-03-04,Carlene,Phil Vassar,45,20
64,2000-03-11,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,40,20
65,2000-03-11,The Way You Love Me,Faith Hill,6,56
66,2000-03-11,She's More,Andy Griggs,37,20
67,2000-03-11,Private Emotion,Ricky Martin Featuring Meja,67,5
68,2000-03-18,Goodbye Earl,Dixie Chicks,19,15
69,2000-03-18,No Mercy,Ty Herndon,92,8
70,2000-03-18,Mr. Too Damn Good,Gerald Levert,76,8
71,2000-03-18,"Ryde Or Die, Chick",The Lox Featuring Timbaland And EVE,73,7
72,2000-03-18,Couldn't Last A Moment,Collin Raye,43,20
73,2000-03-18,Whistle While You Twurk,Ying Yang Twins,74,14
74,2000-03-18,Try Again,Aaliyah,1,32
75,2000-03-18,He Wasn't Man Enough,Toni Braxton,2,37
76,2000-03-18,The Bad Touch,Bloodhound Gang,52,12
77,2000-03-25,I Belong To You,Lenny Kravitz,71,9
78,2000-03-25,Can't Stay,Dave Hollister,84,4
79,2000-03-25,Shackles (Praise You),Mary Mary,28,20
80,2000-03-25,Unconditional,Clay Davidson,49,20
81,2000-03-25,If You Don't Wanna Love Me,Tamar Braxton,89,6
82,2000-03-25,You Owe Me,NAS Featuring Ginuwine,59,16
83,2000-03-25,I Wish,Carl Thomas,20,20
84,2000-04-01,What I Need To Do,Kenny Chesney,56,17
85,2000-04-01,Real Live Woman,Trisha Yearwood,81,6
86,2000-04-01,Mirror Mirror,M2M,62,18
87,2000-04-01,I'm Outta Love,Anastacia,92,3
88,2000-04-01,Swear It Again,Westlife,20,20
89,2000-04-01,Where You Are,Jessica Simpson Featuring Nick Lachey,62,6
90,2000-04-01,Be With You,Enrique Iglesias,1,20
91,2000-04-08,Better Off Alone,Alice Deejay,27,20
92,2000-04-08,Purest Of Pain (A Puro Dolor),Son By Four,26,26
93,2000-04-08,Kryptonite,3 Doors Down,3,53
94,2000-04-08,Yes!,Chad Brock,22,20
95,2000-04-08,Crash And Burn,Savage Garden,24,20
96,2000-04-15,I Turn To You,Christina Aguilera,3,22
97,2000-04-15,Graduation (Friends Forever),Vitamin C,38,12
98,2000-04-15,Best Of Me,Mya Featuring Jadakiss,50,17
99,2000-04-15,Give Me You,Mary J. Blige,68,9
100,2000-04-15,Wobble Wobble,504 Boyz,17,18
101,2000-04-15,The Chain Of Love,Clay Walker,40,20
102,2000-04-15,I Don't Wanna Kiss You Goodnight,LFO,61,5
103,2000-04-22,This Time Around,Hanson,20,7
104,2000-04-22,Where I Wanna Be,Donell Jones,29,20
105,2000-04-22,It's So Hard,Big Punisher Featuring Donell Jones,75,15
106,2000-04-22,Broadway,Goo Goo Dolls,24,20
107,2000-04-22,Someday Out Of The Blue,Elton John,49,15
108,2000-04-22,Oops!...I Did It Again,Britney Spears,9,20
109,2000-04-22,Big Pimpin',Jay-Z Featuring UGK,18,20
110,2000-04-29,More,Trace Adkins,65,11
111,2000-04-29,Another Nine Minutes,Yankee Grey,74,8
112,2000-04-29,Flowers On The Wall,Eric Heatherly,50,20
113,2000-04-29,Back Here,BBMak,13,31
114,2000-04-29,(Hot S**t) Country Grammar,Nelly,7,34
115,2000-04-29,Bent,matchbox twenty,1,39
116,2000-04-29,Separated,Avant,23,20
117,2000-05-06,It's Gonna Be Me,'N Sync,1,25
118,2000-05-06,Absolutely (Story Of A Girl),Nine Days,6,27
119,2000-05-06,Let's Get Married,Jagged Edge,11,24
120,2000-05-06,Prayin' For Daylight,Rascal Flatts,38,20
121,2000-05-06,The Real Slim Shady,Eminem,4,19
122,2000-05-13,Nothing As It Seems,Pearl Jam,49,6
123,2000-05-13,I Hope You Dance,Lee Ann Womack,14,48
124,2000-05-13,With Arms Wide Open,Creed,1,47
125,2000-05-13,I Disappear,Metallica,76,20
126,2000-05-13,Me Neither,Brad Paisley,85,4
127,2000-05-13,Love Sets You Free,Kelly Price & Friends,91,4
128,2000-05-13,Desert Rose,Sting Featuring Cheb Mami,17,26
129,2000-05-13,I'll Be,Reba McEntire,51,20
130,2000-05-13,Some Things Never Change,Tim McGraw,58,14
131,2000-05-13,"Jumpin', Jumpin'",Destiny's Child,3,32
132,2000-05-20,Dance Tonight,Lucy Pearl,36,19
133,2000-05-20,Monica,Before Dark,77,9
134,2000-05-20,Shut Up,"Trick Daddy Featuring Duece Poppito, Trina, Co",83,11
135,2000-05-27,The Next Episode,Dr. Dre Featuring Snoop Dogg,23,20
136,2000-05-27,Wifey,Next,7,21
137,2000-05-27,I Need You,LeAnn Rimes,11,25
138,2000-05-27,The One,Backstreet Boys,30,15
139,2000-06-03,3 Little Words,Nu Flavor,89,9
140,2000-06-03,What'Chu Like,Da Brat Featuring Tyrese,26,20
141,2000-06-10,What About Now,Lonestar,30,20
142,2000-06-10,No Me Dejes De Querer,Gloria Estefan,77,1
143,2000-06-10,I Will Love Again,Lara Fabian,32,17
144,2000-06-10,You'll Always Be Loved By Me,Brooks & Dunn,55,19
145,2000-06-10,When You Need My Love,Darryl Worley,75,15
146,2000-06-10,Whatever,Ideal Featuring Lil' Mo,47,18
147,2000-06-10,I Think God Can Explain,Splender,62,12
148,2000-06-17,One Voice,Billy Gilman,38,19
149,2000-06-17,Riddle,En Vogue,92,4
150,2000-06-17,Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias,52,19
151,2000-06-17,Doesn't Really Matter,Janet,1,24
152,2000-06-17,"Same Script, Different Cast",Whitney Houston & Deborah Cox,70,9
153,2000-06-17,I Wanna Be With You,Mandy Moore,24,17
154,2000-06-24,Crybaby,Mariah Carey Featuring Snoop Dogg,28,7
155,2000-06-24,That's The Way,Jo Dee Messina,25,20
156,2000-06-24,Taking You Home,Don Henley,58,20
157,2000-06-24,Cold Day In July,Dixie Chicks,65,10
158,2000-06-24,Incomplete,Sisqo,1,26
159,2000-06-24,Take That,"Torrey Carter Featuring Missy ""Misdemeanor"" Elliott",86,7
160,2000-06-24,It Must Be Love,Alan Jackson,37,20
161,2000-07-01,Simple Kind Of Life,No Doubt,38,13
162,2000-07-01,What You Want,DMX Featuring Sisqo,49,20
163,2000-07-01,Got Beef,Snoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven,99,2
164,2000-07-01,No More,Ruff Endz,5,26
165,2000-07-01,I Think I'm In Love With You,Jessica Simpson,21,16
166,2000-07-08,Sour Girl,Stone Temple Pilots,78,13
167,2000-07-08,Wonderful,Everclear,11,21
168,2000-07-08,Faded,SoulDecision Featuring Thrust,22,24
169,2000-07-08,Dancing Queen,A*Teens,95,5
170,2000-07-08,Don't Call Me Baby,Madison Avenue,88,20
171,2000-07-15,I Will...But,SHeDAISY,43,20
