Catégorie : Toutes catégories

Mois,Attentats du 11 septembre 2001: (États-Unis)
2004-01,11
2004-02,10
2004-03,15
2004-04,18
2004-05,15
2004-06,22
2004-07,21
2004-08,15
2004-09,35
2004-10,21
2004-11,15
2004-12,12
2005-01,10
2005-02,10
2005-03,9
2005-04,10
2005-05,11
2005-06,9
2005-07,10
2005-08,13
2005-09,21
2005-10,9
2005-11,9
2005-12,9
2006-01,8
2006-02,10
2006-03,12
2006-04,16
2006-05,16
2006-06,10
2006-07,10
2006-08,18
2006-09,66
2006-10,12
2006-11,9
2006-12,8
2007-01,7
2007-02,7
2007-03,8
2007-04,9
2007-05,9
2007-06,7
2007-07,6
2007-08,8
2007-09,36
2007-10,8
2007-11,7
2007-12,7
2008-01,6
2008-02,7
2008-03,7
2008-04,7
2008-05,7
2008-06,6
2008-07,5
2008-08,6
2008-09,35
2008-10,7
2008-11,6
2008-12,5
2009-01,5
2009-02,5
2009-03,6
2009-04,6
2009-05,6
2009-06,5
2009-07,4
2009-08,5
2009-09,35
2009-10,6
2009-11,6
2009-12,6
2010-01,5
2010-02,6
2010-03,6
2010-04,5
2010-05,6
2010-06,4
2010-07,4
2010-08,7
2010-09,32
2010-10,5
2010-11,6
2010-12,6
2011-01,6
2011-02,4
2011-03,7
2011-04,6
2011-05,15
2011-06,4
2011-07,5
2011-08,13
2011-09,100
2011-10,8
2011-11,7
2011-12,6
2012-01,6
2012-02,5
2012-03,5
2012-04,6
2012-05,7
2012-06,4
2012-07,4
2012-08,5
2012-09,44
2012-10,6
2012-11,6
2012-12,5
2013-01,4
2013-02,5
2013-03,5
2013-04,8
2013-05,6
2013-06,3
2013-07,4
2013-08,5
2013-09,43
2013-10,5
2013-11,5
2013-12,4
2014-01,4
2014-02,6
2014-03,5
2014-04,5
2014-05,7
2014-06,4
2014-07,4
2014-08,5
2014-09,43
2014-10,5
2014-11,4
2014-12,5
2015-01,5
2015-02,5
2015-03,5
2015-04,6
2015-05,7
2015-06,5
2015-07,5
2015-08,7
2015-09,48
2015-10,7
2015-11,10
2015-12,6
2016-01,5
2016-02,5
2016-03,5
2016-04,7
2016-05,8
2016-06,6
2016-07,6
2016-08,6
2016-09,54
2016-10,6
2016-11,6
2016-12,5
2017-01,6
2017-02,6
2017-03,5
2017-04,5
2017-05,6
2017-06,4
2017-07,4
2017-08,5
2017-09,30
2017-10,5
2017-11,5
2017-12,4
2018-01,4
2018-02,5
2018-03,4
2018-04,5
2018-05,6
2018-06,4
2018-07,4
2018-08,5
2018-09,46
2018-10,5
2018-11,5
2018-12,4
2019-01,4
2019-02,4
2019-03,5
2019-04,6
2019-05,5
2019-06,6
2019-07,5
2019-08,5
2019-09,46
2019-10,5
2019-11,4
2019-12,4
2020-01,5
2020-02,5
2020-03,6
2020-04,6
2020-05,5
2020-06,4
2020-07,4
2020-08,5
2020-09,40
2020-10,4
2020-11,3
2020-12,3
2021-01,4
2021-02,4
2021-03,3
2021-04,3
2021-05,4
2021-06,4
2021-07,4
2021-08,9
2021-09,62
2021-10,4
2021-11,3
2021-12,3
2022-01,3
2022-02,3
2022-03,4
2022-04,3
