Catégorie : Toutes catégories

Mois,arab spring: (États-Unis)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,1
2004-06,0
2004-07,0
2004-08,1
2004-09,1
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,1
2005-04,1
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,1
2006-01,0
2006-02,< 1
2006-03,< 1
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,< 1
2006-10,0
2006-11,1
2006-12,< 1
2007-01,0
2007-02,< 1
2007-03,< 1
2007-04,< 1
2007-05,0
2007-06,0
2007-07,1
2007-08,< 1
2007-09,< 1
2007-10,< 1
2007-11,< 1
2007-12,0
2008-01,0
2008-02,< 1
2008-03,< 1
2008-04,1
2008-05,0
2008-06,0
2008-07,< 1
2008-08,3
2008-09,0
2008-10,< 1
2008-11,0
2008-12,0
2009-01,< 1
2009-02,< 1
2009-03,1
2009-04,< 1
2009-05,1
2009-06,0
2009-07,0
2009-08,0
2009-09,< 1
2009-10,< 1
2009-11,0
2009-12,< 1
2010-01,< 1
2010-02,0
2010-03,1
2010-04,< 1
2010-05,< 1
2010-06,< 1
2010-07,< 1
2010-08,0
2010-09,< 1
2010-10,< 1
2010-11,< 1
2010-12,< 1
2011-01,< 1
2011-02,1
2011-03,2
2011-04,8
2011-05,54
2011-06,30
2011-07,21
2011-08,39
2011-09,60
2011-10,99
2011-11,84
2011-12,72
2012-01,67
2012-02,68
2012-03,57
2012-04,49
2012-05,47
2012-06,29
2012-07,26
2012-08,23
2012-09,100
2012-10,54
2012-11,45
2012-12,36
2013-01,35
2013-02,39
2013-03,39
2013-04,39
2013-05,34
2013-06,22
2013-07,26
2013-08,27
2013-09,31
2013-10,32
2013-11,29
2013-12,24
2014-01,22
2014-02,29
2014-03,29
2014-04,30
2014-05,30
2014-06,14
2014-07,11
2014-08,12
2014-09,21
2014-10,22
2014-11,24
2014-12,22
2015-01,20
2015-02,27
2015-03,31
2015-04,29
2015-05,27
2015-06,14
2015-07,11
2015-08,10
2015-09,22
2015-10,30
2015-11,33
2015-12,26
2016-01,23
2016-02,27
2016-03,28
2016-04,28
2016-05,27
2016-06,13
2016-07,11
2016-08,11
2016-09,16
2016-10,20
2016-11,26
2016-12,25
2017-01,21
2017-02,23
2017-03,23
2017-04,29
2017-05,26
2017-06,11
2017-07,7
2017-08,7
2017-09,12
2017-10,15
2017-11,20
2017-12,16
2018-01,16
2018-02,20
2018-03,18
2018-04,28
2018-05,21
2018-06,10
2018-07,7
2018-08,6
2018-09,10
2018-10,16
2018-11,16
2018-12,15
2019-01,13
2019-02,20
2019-03,18
2019-04,22
2019-05,21
2019-06,10
2019-07,6
2019-08,5
2019-09,10
2019-10,15
2019-11,13
2019-12,13
2020-01,13
2020-02,17
2020-03,12
2020-04,16
2020-05,16
2020-06,14
2020-07,7
2020-08,7
2020-09,10
2020-10,12
2020-11,9
2020-12,10
2021-01,10
2021-02,11
2021-03,10
2021-04,11
2021-05,12
2021-06,5
2021-07,5
2021-08,5
2021-09,7
2021-10,8
2021-11,8
2021-12,7
2022-01,7
2022-02,10
2022-03,12
2022-04,7
