_date,_song,_artist,_peak-rank,_weeks-on-board,_genres,_track,_uri,_danceability,_energy,_key,_loudness,_mode,_speechiness,_acousticness,_instrumentalness,_liveness,_valence,_tempo,_duration_ms,_time_signature,_chorus_hit,_sections,_target,year,id,keywords
2007-05-05,When You're Gone,Avril Lavigne,24,20,"['743219675026', 'alternative rock', 'bubblegum punk', 'dance-pop', 'electropop', 'indie rock', 'mall punk', 'pop', 'pop and chart', 'pop punk', 'pop rock', 'pop/rock', 'post-grunge', 'punk', 'punk rock', 'rock', 'soft rock', 'teen pop', 'teen punk']",When You're Gone,spotify:track:54JKnDB3CzVu8wNAOM27BI,0.458,0.719,4.0,-3.921,0.0,0.0323,0.189,0.0,0.228,0.168,142.032,240493.0,4.0,41.56714,8.0,1.0,2007,When_You're_Gone_by_Avril_Lavigne,"743219675026, alternative rock, bubblegum punk, dance-pop, electropop, indie rock, mall punk, pop, pop and chart, pop punk, pop rock, pop/rock, post-grunge, punk, punk rock, rock, soft rock, teen pop, teen punk"
2006-02-25,Animals,Nickelback,97,3,"['alternative rock', 'canadian', 'death metal', 'electropop', 'funk rock', 'hard rock', 'music_for_people_who_dislike_music', 'pop and chart', 'pop rock', 'post-grunge', 'rock']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2006,Animals_by_Nickelback,"alternative rock, canadian, death metal, electropop, funk rock, hard rock, music_for_people_who_dislike_music, pop and chart, pop rock, post-grunge, rock"
2019-04-20,Big Ole Freak,Megan Thee Stallion,65,12,"['english', 'hip hop', 'rap']",Big Ole Freak,spotify:track:3YEbLhXRDPTtctnb3ddg8g,0.799,0.699,2.0,-7.694,1.0,0.204,0.00867,0.0,0.132,0.627,142.979,214851.0,4.0,54.57579,11.0,1.0,2019,Big_Ole_Freak_by_Megan_Thee_Stallion,"english, hip hop, rap"
2010-03-20,Ain't Back Yet,Kenny Chesney,50,13,"['contemporary country', 'country', 'country pop', 'singer/songwriter']",Ain't Back Yet,spotify:track:5jjoS9t9LgIsSGbVrtoKR7,0.602,0.944,10.0,-4.238,1.0,0.0427,0.0308,0.00256,0.436,0.797,106.958,239813.0,4.0,18.21328,10.0,1.0,2010,Ain't_Back_Yet_by_Kenny_Chesney,"contemporary country, country, country pop, singer/songwriter"
2019-07-13,Higher Love,Kygo X Whitney Houston,63,9,"['adult contemporary', 'contemporary r&b', 'dance-pop', 'death by drowning', 'new jack swing', 'o happy day', 'pop', 'pop soul', 'r&b', 'soul', 'soul and reggae']",Higher Love,spotify:track:6oJ6le65B3SEqPwMRNXWjY,0.693,0.678,8.0,-7.159,1.0,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267.0,4.0,27.33844,11.0,1.0,2019,Higher_Love_by_Kygo_X_Whitney_Houston,"adult contemporary, contemporary r&b, dance-pop, death by drowning, new jack swing, o happy day, pop, pop soul, r&b, soul, soul and reggae"
2019-10-26,Rich As Hell,YoungBoy Never Broke Again,79,2,['hip hop'],Rich As Hell,spotify:track:5A6tFAdihqILHJrWuR6wD4,0.874,0.647,1.0,-5.256,1.0,0.441,0.0382,0.0,0.215,0.228,154.04,215327.0,4.0,112.22588,7.0,1.0,2019,Rich_As_Hell_by_YoungBoy_Never_Broke_Again,hip hop
2015-08-01,Kings Never Die,Eminem Featuring Gwen Stefani,80,2,"['2008 universal fire victim', 'american', 'contemporary r&b', 'dance-pop', 'electropop', 'new wave', 'no doubt', 'pop', 'pop and chart', 'pop rap', 'pop rock', 'rnb', 'rock', 'ska punk', 'united states']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2015,Kings_Never_Die_by_Eminem_Featuring_Gwen_Stefani,"2008 universal fire victim, american, contemporary r&b, dance-pop, electropop, new wave, no doubt, pop, pop and chart, pop rap, pop rock, rnb, rock, ska punk, united states"
2003-11-15,Salt Shaker,Ying Yang Twins Featuring Lil Jon & The East Side Boyz,9,26,"['hip hop', 'hip hop rnb and dance hall']",Salt Shaker,spotify:track:4Kd0FzFpOgIGxlBl4HXuFn,0.884,0.697,11.0,-6.022,1.0,0.128,0.0509,0.0,0.094,0.322,101.965,252440.0,4.0,23.08264,12.0,1.0,2003,Salt_Shaker_by_Ying_Yang_Twins_Featuring_Lil_Jon_&_The_East_Side_Boyz,"hip hop, hip hop rnb and dance hall"
2008-07-26,Learning How To Bend,Gary Allan,96,4,"['2008 universal fire victim', 'contemporary country', 'country', 'country rock']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2008,Learning_How_To_Bend_by_Gary_Allan,"2008 universal fire victim, contemporary country, country, country rock"
2009-03-14,If This Isn't Love,Jennifer Hudson,63,13,"['american idol', 'english', 'pop', 'r&b', 'soul']",If This Isn't Love,spotify:track:0o6IWuQ9Uxt69jKdVZ1eg2,0.567,0.777,4.0,-3.447,1.0,0.0448,0.209,0.0,0.106,0.403,129.86,216387.0,4.0,19.35169,12.0,1.0,2009,If_This_Isn't_Love_by_Jennifer_Hudson,"american idol, english, pop, r&b, soul"
2018-01-06,Black & Chinese,Huncho Jack,71,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2018,Black_&_Chinese_by_Huncho_Jack,Unknown
2018-10-13,Let It Fly,Lil Wayne Featuring Travis Scott,10,2,"['as jailed', 'chopped and screwed', 'contemporary r&b', 'criminal', 'gangsta rap', 'hip hop', 'hip hop rnb and dance hall', 'lil wayne', 'pop rap', 'r&b', 'rap', 'rap rock', 'relic inn', 'southern hip hop', 'trap']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2018,Let_It_Fly_by_Lil_Wayne_Featuring_Travis_Scott,"as jailed, chopped and screwed, contemporary r&b, criminal, gangsta rap, hip hop, hip hop rnb and dance hall, lil wayne, pop rap, r&b, rap, rap rock, relic inn, southern hip hop, trap"
2020-05-23,Gooba,6ix9ine,3,10,"['hip hop', 'rap']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,Gooba_by_6ix9ine,"hip hop, rap"
2021-02-20,Time Today,Moneybagg Yo,31,20,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2021,Time_Today_by_Moneybagg_Yo,Unknown
